Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Diameter,Draw Note Price Horizontal Line
NVDA@DXFEED,193.26,Prev Day High,#ffffff,#0066FF,left,3,TRUE
NVDA@DXFEED,188.77,Prev Day Low,#ffffff,#0066FF,left,3,TRUE
NVDA@DXFEED,193.66,Weekly High,#ffffff,#00AA00,left,3,TRUE
NVDA@DXFEED,174.60,Weekly Low,#ffffff,#00AA00,left,3,TRUE
NVDA@DXFEED,189.58,POC,#000000,#FFD700,left,3,TRUE
NVDA@DXFEED,192.06,VAH,#000000,#FFD700,left,3,TRUE
NVDA@DXFEED,188.20,VAL,#000000,#FFD700,left,3,TRUE
NVDA@DXFEED,160.00,Round 160,#ffffff,#808080,left,3,TRUE
NVDA@DXFEED,165.00,Round 165,#ffffff,#808080,left,3,TRUE
NVDA@DXFEED,170.00,Round 170,#ffffff,#808080,left,3,TRUE
NVDA@DXFEED,175.00,Round 175,#ffffff,#808080,left,3,TRUE
NVDA@DXFEED,180.00,Round 180,#ffffff,#808080,left,3,TRUE
NVDA@DXFEED,185.00,Round 185,#ffffff,#808080,left,3,TRUE
NVDA@DXFEED,190.00,Round 190,#ffffff,#808080,left,3,TRUE
NVDA@DXFEED,195.00,Round 195,#ffffff,#808080,left,3,TRUE
NVDA@DXFEED,200.00,Round 200,#ffffff,#808080,left,3,TRUE
NVDA@DXFEED,205.00,Round 205,#ffffff,#808080,left,3,TRUE
NVDA@DXFEED,210.00,Round 210,#ffffff,#808080,left,3,TRUE
AAPL@DXFEED,280.18,Prev Day High,#ffffff,#0066FF,left,3,TRUE
AAPL@DXFEED,274.45,Prev Day Low,#ffffff,#0066FF,left,3,TRUE
AAPL@DXFEED,280.65,Weekly High,#ffffff,#00AA00,left,3,TRUE
AAPL@DXFEED,260.18,Weekly Low,#ffffff,#00AA00,left,3,TRUE
AAPL@DXFEED,274.01,POC,#000000,#FFD700,left,3,TRUE
AAPL@DXFEED,276.92,VAH,#000000,#FFD700,left,3,TRUE
AAPL@DXFEED,261.64,VAL,#000000,#FFD700,left,3,TRUE
AAPL@DXFEED,235.00,Round 235,#ffffff,#808080,left,3,TRUE
AAPL@DXFEED,240.00,Round 240,#ffffff,#808080,left,3,TRUE
AAPL@DXFEED,245.00,Round 245,#ffffff,#808080,left,3,TRUE
AAPL@DXFEED,250.00,Round 250,#ffffff,#808080,left,3,TRUE
AAPL@DXFEED,255.00,Round 255,#ffffff,#808080,left,3,TRUE
AAPL@DXFEED,260.00,Round 260,#ffffff,#808080,left,3,TRUE
AAPL@DXFEED,265.00,Round 265,#ffffff,#808080,left,3,TRUE
AAPL@DXFEED,270.00,Round 270,#ffffff,#808080,left,3,TRUE
AAPL@DXFEED,275.00,Round 275,#ffffff,#808080,left,3,TRUE
AAPL@DXFEED,280.00,Round 280,#ffffff,#808080,left,3,TRUE
AAPL@DXFEED,285.00,Round 285,#ffffff,#808080,left,3,TRUE
TSLA@DXFEED,436.35,Prev Day High,#ffffff,#0066FF,left,3,TRUE
TSLA@DXFEED,420.03,Prev Day Low,#ffffff,#0066FF,left,3,TRUE
TSLA@DXFEED,436.35,Weekly High,#ffffff,#00AA00,left,3,TRUE
TSLA@DXFEED,397.75,Weekly Low,#ffffff,#00AA00,left,3,TRUE
TSLA@DXFEED,425.05,POC,#000000,#FFD700,left,3,TRUE
TSLA@DXFEED,426.69,VAH,#000000,#FFD700,left,3,TRUE
TSLA@DXFEED,412.48,VAL,#000000,#FFD700,left,3,TRUE
TSLA@DXFEED,390.00,Round 390,#ffffff,#808080,left,3,TRUE
TSLA@DXFEED,395.00,Round 395,#ffffff,#808080,left,3,TRUE
TSLA@DXFEED,400.00,Round 400,#ffffff,#808080,left,3,TRUE
TSLA@DXFEED,405.00,Round 405,#ffffff,#808080,left,3,TRUE
TSLA@DXFEED,410.00,Round 410,#ffffff,#808080,left,3,TRUE
TSLA@DXFEED,415.00,Round 415,#ffffff,#808080,left,3,TRUE
TSLA@DXFEED,420.00,Round 420,#ffffff,#808080,left,3,TRUE
TSLA@DXFEED,425.00,Round 425,#ffffff,#808080,left,3,TRUE
TSLA@DXFEED,430.00,Round 430,#ffffff,#808080,left,3,TRUE
TSLA@DXFEED,435.00,Round 435,#ffffff,#808080,left,3,TRUE
TSLA@DXFEED,440.00,Round 440,#ffffff,#808080,left,3,TRUE
AMD@DXFEED,219.65,Prev Day High,#ffffff,#0066FF,left,3,TRUE
AMD@DXFEED,209.21,Prev Day Low,#ffffff,#0066FF,left,3,TRUE
AMD@DXFEED,219.65,Weekly High,#ffffff,#00AA00,left,3,TRUE
AMD@DXFEED,196.43,Weekly Low,#ffffff,#00AA00,left,3,TRUE
AMD@DXFEED,202.07,POC,#000000,#FFD700,left,3,TRUE
AMD@DXFEED,214.49,VAH,#000000,#FFD700,left,3,TRUE
AMD@DXFEED,202.07,VAL,#000000,#FFD700,left,3,TRUE
AMD@DXFEED,180.00,Round 180,#ffffff,#808080,left,3,TRUE
AMD@DXFEED,185.00,Round 185,#ffffff,#808080,left,3,TRUE
AMD@DXFEED,190.00,Round 190,#ffffff,#808080,left,3,TRUE
AMD@DXFEED,195.00,Round 195,#ffffff,#808080,left,3,TRUE
AMD@DXFEED,200.00,Round 200,#ffffff,#808080,left,3,TRUE
AMD@DXFEED,205.00,Round 205,#ffffff,#808080,left,3,TRUE
AMD@DXFEED,210.00,Round 210,#ffffff,#808080,left,3,TRUE
AMD@DXFEED,215.00,Round 215,#ffffff,#808080,left,3,TRUE
AMD@DXFEED,220.00,Round 220,#ffffff,#808080,left,3,TRUE
AMD@DXFEED,225.00,Round 225,#ffffff,#808080,left,3,TRUE
AMD@DXFEED,230.00,Round 230,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,6992.75,Prev Day High,#ffffff,#0066FF,left,3,TRUE
/ESH26:XCME@DXFEED,6842.00,Prev Day Low,#ffffff,#0066FF,left,3,TRUE
/ESH26:XCME@DXFEED,7011.50,Weekly High,#ffffff,#00AA00,left,3,TRUE
/ESH26:XCME@DXFEED,6824.25,Weekly Low,#ffffff,#00AA00,left,3,TRUE
/ESH26:XCME@DXFEED,6991.48,POC,#000000,#FFD700,left,3,TRUE
/ESH26:XCME@DXFEED,7001.64,VAH,#000000,#FFD700,left,3,TRUE
/ESH26:XCME@DXFEED,6940.68,VAL,#000000,#FFD700,left,3,TRUE
/ESH26:XCME@DXFEED,6700.00,Round 6700,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,6725.00,Round 6725,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,6750.00,Round 6750,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,6775.00,Round 6775,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,6800.00,Round 6800,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,6825.00,Round 6825,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,6850.00,Round 6850,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,6875.00,Round 6875,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,6900.00,Round 6900,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,6925.00,Round 6925,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,6950.00,Round 6950,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,6975.00,Round 6975,#ffffff,#808080,left,3,TRUE
/ESH26:XCME@DXFEED,7000.00,Round 7000,#ffffff,#808080,left,3,TRUE
/NQH26:XCME@DXFEED,25419.75,Prev Day High,#ffffff,#0066FF,left,3,TRUE
/NQH26:XCME@DXFEED,24721.50,Prev Day Low,#ffffff,#0066FF,left,3,TRUE
/NQH26:XCME@DXFEED,25465.25,Weekly High,#ffffff,#00AA00,left,3,TRUE
/NQH26:XCME@DXFEED,24642.25,Weekly Low,#ffffff,#00AA00,left,3,TRUE
/NQH26:XCME@DXFEED,25358.72,POC,#000000,#FFD700,left,3,TRUE
/NQH26:XCME@DXFEED,25417.19,VAH,#000000,#FFD700,left,3,TRUE
/NQH26:XCME@DXFEED,25095.62,VAL,#000000,#FFD700,left,3,TRUE
/NQH26:XCME@DXFEED,24500.00,Round 24500,#ffffff,#808080,left,3,TRUE
/NQH26:XCME@DXFEED,24550.00,Round 24550,#ffffff,#808080,left,3,TRUE
/NQH26:XCME@DXFEED,24600.00,Round 24600,#ffffff,#808080,left,3,TRUE
/NQH26:XCME@DXFEED,24650.00,Round 24650,#ffffff,#808080,left,3,TRUE
/NQH26:XCME@DXFEED,24700.00,Round 24700,#ffffff,#808080,left,3,TRUE
/NQH26:XCME@DXFEED,24750.00,Round 24750,#ffffff,#808080,left,3,TRUE
/NQH26:XCME@DXFEED,24800.00,Round 24800,#ffffff,#808080,left,3,TRUE
/NQH26:XCME@DXFEED,24850.00,Round 24850,#ffffff,#808080,left,3,TRUE
/NQH26:XCME@DXFEED,24900.00,Round 24900,#ffffff,#808080,left,3,TRUE
/NQH26:XCME@DXFEED,24950.00,Round 24950,#ffffff,#808080,left,3,TRUE
/NQH26:XCME@DXFEED,25000.00,Round 25000,#ffffff,#808080,left,3,TRUE
